sample_id,class_id,class_name,original_pixels,resized_pixels,scaled_resized_pixels,retention_percent
hurricane-michael_00000142,1,No Damage,61599,3852,61632,100.05357229825161
hurricane-michael_00000142,2,Minor Damage,16758,1060,16960,101.20539443847714
hurricane-michael_00000142,3,Major Damage,7104,438,7008,98.64864864864865
hurricane-michael_00000142,4,Destroyed,239,16,256,107.11297071129707
socal-fire_00000013,0,Background,1048576,65536,1048576,100.0
socal-fire_00000013,1,No Damage,0,0,0,0.0
socal-fire_00000013,2,Minor Damage,0,0,0,0.0
socal-fire_00000013,3,Major Damage,0,0,0,0.0
socal-fire_00000013,4,Destroyed,0,0,0,0.0
socal-fire_00000277,0,Background,1048576,65536,1048576,100.0
socal-fire_00000277,1,No Damage,0,0,0,0.0
socal-fire_00000277,2,Minor Damage,0,0,0,0.0
socal-fire_00000277,3,Major Damage,0,0,0,0.0
socal-fire_00000277,4,Destroyed,0,0,0,0.0
hurricane-michael_00000380,0,Background,1048576,65536,1048576,100.0
hurricane-michael_00000380,1,No Damage,0,0,0,0.0
hurricane-michael_00000380,2,Minor Damage,0,0,0,0.0
hurricane-michael_00000380,3,Major Damage,0,0,0,0.0
hurricane-michael_00000380,4,Destroyed,0,0,0,0.0
hurricane-michael_00000196,0,Background,947092,59240,947840,100.07897859975587
hurricane-michael_00000196,1,No Damage,46897,2894,46304,98.7355267927586
hurricane-michael_00000196,2,Minor Damage,29441,1819,29104,98.85533779423254
hurricane-michael_00000196,3,Major Damage,20556,1303,20848,101.42050982681457
hurricane-michael_00000196,4,Destroyed,4590,280,4480,97.60348583877996
hurricane-michael_00000269,0,Background,1002797,62683,1002928,100.01306346149819
hurricane-michael_00000269,1,No Damage,28046,1751,28016,99.89303287456322
hurricane-michael_00000269,2,Minor Damage,6962,425,6800,97.67308244757254
hurricane-michael_00000269,3,Major Damage,5878,375,6000,102.07553589656347
hurricane-michael_00000269,4,Destroyed,4893,302,4832,98.75332107091764
santa-rosa-wildfire_00000155,0,Background,760100,47481,759696,99.94684909880279
santa-rosa-wildfire_00000155,1,No Damage,80496,5028,80448,99.94036970781157
santa-rosa-wildfire_00000155,2,Minor Damage,1159,75,1200,103.53753235547887
santa-rosa-wildfire_00000155,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000155,4,Destroyed,206821,12952,207232,100.19872256685733
santa-rosa-wildfire_00000320,0,Background,1048576,65536,1048576,100.0
santa-rosa-wildfire_00000320,1,No Damage,0,0,0,0.0
santa-rosa-wildfire_00000320,2,Minor Damage,0,0,0,0.0
santa-rosa-wildfire_00000320,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000320,4,Destroyed,0,0,0,0.0
hurricane-harvey_00000515,0,Background,977844,61125,978000,100.01595346496987
hurricane-harvey_00000515,1,No Damage,70732,4411,70576,99.77944918848611
hurricane-harvey_00000515,2,Minor Damage,0,0,0,0.0
hurricane-harvey_00000515,3,Major Damage,0,0,0,0.0
hurricane-harvey_00000515,4,Destroyed,0,0,0,0.0
santa-rosa-wildfire_00000129,0,Background,865073,54064,865024,99.99433573814002
santa-rosa-wildfire_00000129,1,No Damage,19065,1186,18976,99.53317597692106
santa-rosa-wildfire_00000129,2,Minor Damage,583,33,528,90.56603773584906
santa-rosa-wildfire_00000129,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000129,4,Destroyed,163855,10253,164048,100.11778706783436
socal-fire_00000572,0,Background,1048576,65536,1048576,100.0
socal-fire_00000572,1,No Damage,0,0,0,0.0
socal-fire_00000572,2,Minor Damage,0,0,0,0.0
socal-fire_00000572,3,Major Damage,0,0,0,0.0
socal-fire_00000572,4,Destroyed,0,0,0,0.0
palu-tsunami_00000189,0,Background,973267,60839,973424,100.0161312363411
palu-tsunami_00000189,1,No Damage,43451,2722,43552,100.23244574348115
palu-tsunami_00000189,2,Minor Damage,0,0,0,0.0
palu-tsunami_00000189,3,Major Damage,6482,389,6224,96.01974699166924
palu-tsunami_00000189,4,Destroyed,25376,1586,25376,100.0
socal-fire_00000151,0,Background,1048576,65536,1048576,100.0
socal-fire_00000151,1,No Damage,0,0,0,0.0
socal-fire_00000151,2,Minor Damage,0,0,0,0.0
socal-fire_00000151,3,Major Damage,0,0,0,0.0
socal-fire_00000151,4,Destroyed,0,0,0,0.0
santa-rosa-wildfire_00000103,0,Background,984405,61530,984480,100.00761881542657
santa-rosa-wildfire_00000103,1,No Damage,35997,2261,36176,100.49726366086063
santa-rosa-wildfire_00000103,2,Minor Damage,1570,97,1552,98.85350318471338
santa-rosa-wildfire_00000103,3,Major Damage,3351,200,3200,95.49388242315726
santa-rosa-wildfire_00000103,4,Destroyed,23253,1448,23168,99.63445576914806
mexico-earthquake_00000096,0,Background,1042898,65185,1042960,100.00594497256682
mexico-earthquake_00000096,1,No Damage,5678,351,5616,98.90806622050017
mexico-earthquake_00000096,2,Minor Damage,0,0,0,0.0
mexico-earthquake_00000096,3,Major Damage,0,0,0,0.0
mexico-earthquake_00000096,4,Destroyed,0,0,0,0.0
socal-fire_00000915,0,Background,1048576,65536,1048576,100.0
socal-fire_00000915,1,No Damage,0,0,0,0.0
socal-fire_00000915,2,Minor Damage,0,0,0,0.0
socal-fire_00000915,3,Major Damage,0,0,0,0.0
socal-fire_00000915,4,Destroyed,0,0,0,0.0
santa-rosa-wildfire_00000250,0,Background,1002322,62641,1002256,99.99341528969732
santa-rosa-wildfire_00000250,1,No Damage,4066,254,4064,99.9508116084604
santa-rosa-wildfire_00000250,2,Minor Damage,1036,65,1040,100.38610038610038
santa-rosa-wildfire_00000250,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000250,4,Destroyed,41152,2576,41216,100.15552099533438
hurricane-harvey_00000344,0,Background,1005210,62818,1005088,99.98786323255837
hurricane-harvey_00000344,1,No Damage,28570,1800,28800,100.8050402520126
hurricane-harvey_00000344,2,Minor Damage,14796,918,14688,99.27007299270073
hurricane-harvey_00000344,3,Major Damage,0,0,0,0.0
hurricane-harvey_00000344,4,Destroyed,0,0,0,0.0
santa-rosa-wildfire_00000191,0,Background,1042972,65185,1042960,99.99884944178751
santa-rosa-wildfire_00000191,1,No Damage,0,0,0,0.0
santa-rosa-wildfire_00000191,2,Minor Damage,0,0,0,0.0
santa-rosa-wildfire_00000191,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000191,4,Destroyed,5604,351,5616,100.21413276231263
hurricane-harvey_00000261,0,Background,1042943,65179,1042864,99.99242528115151
hurricane-harvey_00000261,1,No Damage,0,0,0,0.0
hurricane-harvey_00000261,2,Minor Damage,0,0,0,0.0
hurricane-harvey_00000261,3,Major Damage,5633,357,5712,101.40244984910349
hurricane-harvey_00000261,4,Destroyed,0,0,0,0.0
hurricane-michael_00000208,0,Background,1030867,64421,1030736,99.98729225011567
hurricane-michael_00000208,1,No Damage,11741,743,11888,101.25202282599437
hurricane-michael_00000208,2,Minor Damage,5214,327,5232,100.34522439585731
hurricane-michael_00000208,3,Major Damage,754,45,720,95.49071618037135
hurricane-michael_00000208,4,Destroyed,0,0,0,0.0
socal-fire_00000923,0,Background,1046226,65385,1046160,99.99369161156385
socal-fire_00000923,1,No Damage,756,50,800,105.82010582010581
socal-fire_00000923,2,Minor Damage,0,0,0,0.0
socal-fire_00000923,3,Major Damage,0,0,0,0.0
socal-fire_00000923,4,Destroyed,1594,101,1616,101.38017565872019
santa-rosa-wildfire_00000249,0,Background,1037819,64865,1037840,100.00202347422817
santa-rosa-wildfire_00000249,1,No Damage,179,11,176,98.32402234636871
santa-rosa-wildfire_00000249,2,Minor Damage,0,0,0,0.0
santa-rosa-wildfire_00000249,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000249,4,Destroyed,10578,660,10560,99.8298355076574
socal-fire_00000252,0,Background,1044745,65297,1044752,100.00067001995703
socal-fire_00000252,1,No Damage,3831,239,3824,99.8172800835291
socal-fire_00000252,2,Minor Damage,0,0,0,0.0
socal-fire_00000252,3,Major Damage,0,0,0,0.0
socal-fire_00000252,4,Destroyed,0,0,0,0.0
hurricane-matthew_00000102,0,Background,1034768,64672,1034752,99.99845375968333
hurricane-matthew_00000102,1,No Damage,1489,95,1520,102.08193418401612
hurricane-matthew_00000102,2,Minor Damage,10152,631,10096,99.44838455476753
hurricane-matthew_00000102,3,Major Damage,1957,124,1984,101.37966274910578
hurricane-matthew_00000102,4,Destroyed,210,14,224,106.66666666666667
hurricane-michael_00000003,0,Background,992667,62022,992352,99.96826730414126
hurricane-michael_00000003,1,No Damage,0,0,0,0.0
hurricane-michael_00000003,2,Minor Damage,52146,3277,52432,100.54846009281633
hurricane-michael_00000003,3,Major Damage,3440,215,3440,100.0
hurricane-michael_00000003,4,Destroyed,323,22,352,108.9783281733746
palu-tsunami_00000178,0,Background,711197,44502,712032,100.11740769435191
palu-tsunami_00000178,1,No Damage,208831,13034,208544,99.86256829685249
palu-tsunami_00000178,2,Minor Damage,0,0,0,0.0
palu-tsunami_00000178,3,Major Damage,1669,108,1728,103.53505092869982
palu-tsunami_00000178,4,Destroyed,126879,7892,126272,99.52159143751132
hurricane-harvey_00000157,0,Background,1048314,65518,1048288,99.99751982707471
hurricane-harvey_00000157,1,No Damage,0,0,0,0.0
hurricane-harvey_00000157,2,Minor Damage,0,0,0,0.0
hurricane-harvey_00000157,3,Major Damage,262,18,288,109.92366412213741
hurricane-harvey_00000157,4,Destroyed,0,0,0,0.0
hurricane-florence_00000008,0,Background,1017739,63601,1017616,99.98791438669443
hurricane-florence_00000008,1,No Damage,30837,1935,30960,100.39887148555306
hurricane-florence_00000008,2,Minor Damage,0,0,0,0.0
hurricane-florence_00000008,3,Major Damage,0,0,0,0.0
hurricane-florence_00000008,4,Destroyed,0,0,0,0.0
hurricane-harvey_00000440,0,Background,855629,53422,854752,99.89750230532158
hurricane-harvey_00000440,1,No Damage,70863,4442,71072,100.29493529768709
hurricane-harvey_00000440,2,Minor Damage,24966,1575,25200,100.93727469358326
hurricane-harvey_00000440,3,Major Damage,97118,6097,97552,100.44687905434625
hurricane-harvey_00000440,4,Destroyed,0,0,0,0.0
hurricane-michael_00000172,0,Background,900943,56365,901840,100.0995623474515
hurricane-michael_00000172,1,No Damage,97621,6041,96656,99.01148318497044
hurricane-michael_00000172,2,Minor Damage,44409,2791,44656,100.55619356436758
hurricane-michael_00000172,3,Major Damage,5603,339,5424,96.8052828841692
hurricane-michael_00000172,4,Destroyed,0,0,0,0.0
midwest-flooding_00000444,0,Background,1040556,65034,1040544,99.99884677038044
midwest-flooding_00000444,1,No Damage,7862,493,7888,100.330704655304
midwest-flooding_00000444,2,Minor Damage,0,0,0,0.0
midwest-flooding_00000444,3,Major Damage,158,9,144,91.13924050632912
midwest-flooding_00000444,4,Destroyed,0,0,0,0.0
socal-fire_00000079,0,Background,1048576,65536,1048576,100.0
socal-fire_00000079,1,No Damage,0,0,0,0.0
socal-fire_00000079,2,Minor Damage,0,0,0,0.0
socal-fire_00000079,3,Major Damage,0,0,0,0.0
socal-fire_00000079,4,Destroyed,0,0,0,0.0
midwest-flooding_00000346,0,Background,1024834,64048,1024768,99.99355993263299
midwest-flooding_00000346,1,No Damage,0,0,0,0.0
midwest-flooding_00000346,2,Minor Damage,2840,178,2848,100.28169014084507
midwest-flooding_00000346,3,Major Damage,16773,1051,16816,100.25636439515888
midwest-flooding_00000346,4,Destroyed,4129,259,4144,100.36328408815693
hurricane-matthew_00000232,0,Background,1047866,65491,1047856,99.99904567950483
hurricane-matthew_00000232,1,No Damage,0,0,0,0.0
hurricane-matthew_00000232,2,Minor Damage,190,12,192,101.05263157894737
hurricane-matthew_00000232,3,Major Damage,260,16,256,98.46153846153847
hurricane-matthew_00000232,4,Destroyed,260,17,272,104.61538461538463
palu-tsunami_00000102,0,Background,1005409,62855,1005680,100.02695420470673
palu-tsunami_00000102,1,No Damage,43167,2681,42896,99.37220562003382
palu-tsunami_00000102,2,Minor Damage,0,0,0,0.0
palu-tsunami_00000102,3,Major Damage,0,0,0,0.0
palu-tsunami_00000102,4,Destroyed,0,0,0,0.0
santa-rosa-wildfire_00000185,0,Background,1001575,62595,1001520,99.99450864887802
santa-rosa-wildfire_00000185,1,No Damage,47001,2941,47056,100.11701878683432
santa-rosa-wildfire_00000185,2,Minor Damage,0,0,0,0.0
santa-rosa-wildfire_00000185,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000185,4,Destroyed,0,0,0,0.0
hurricane-florence_00000478,0,Background,1031887,64502,1032032,100.01405192622836
hurricane-florence_00000478,1,No Damage,15512,961,15376,99.12325941206808
hurricane-florence_00000478,2,Minor Damage,0,0,0,0.0
hurricane-florence_00000478,3,Major Damage,1177,73,1168,99.23534409515717
hurricane-florence_00000478,4,Destroyed,0,0,0,0.0
socal-fire_00001107,0,Background,1048576,65536,1048576,100.0
socal-fire_00001107,1,No Damage,0,0,0,0.0
socal-fire_00001107,2,Minor Damage,0,0,0,0.0
socal-fire_00001107,3,Major Damage,0,0,0,0.0
socal-fire_00001107,4,Destroyed,0,0,0,0.0
socal-fire_00001283,0,Background,1048576,65536,1048576,100.0
socal-fire_00001283,1,No Damage,0,0,0,0.0
socal-fire_00001283,2,Minor Damage,0,0,0,0.0
socal-fire_00001283,3,Major Damage,0,0,0,0.0
socal-fire_00001283,4,Destroyed,0,0,0,0.0
hurricane-florence_00000320,0,Background,1040102,65008,1040128,100.00249975483173
hurricane-florence_00000320,1,No Damage,6245,391,6256,100.17614091273019
hurricane-florence_00000320,2,Minor Damage,2229,137,2192,98.34006280843428
hurricane-florence_00000320,3,Major Damage,0,0,0,0.0
hurricane-florence_00000320,4,Destroyed,0,0,0,0.0
hurricane-florence_00000146,0,Background,1046557,65406,1046496,99.99417136381487
hurricane-florence_00000146,1,No Damage,0,0,0,0.0
hurricane-florence_00000146,2,Minor Damage,0,0,0,0.0
hurricane-florence_00000146,3,Major Damage,2019,130,2080,103.0212976721149
hurricane-florence_00000146,4,Destroyed,0,0,0,0.0
hurricane-harvey_00000439,0,Background,734031,45811,732976,99.85627310018242
hurricane-harvey_00000439,1,No Damage,7139,461,7376,103.31979268805154
hurricane-harvey_00000439,2,Minor Damage,88608,5563,89008,100.45142650776452
hurricane-harvey_00000439,3,Major Damage,218798,13701,219216,100.19104379381896
hurricane-harvey_00000439,4,Destroyed,0,0,0,0.0
hurricane-matthew_00000261,0,Background,1047241,65451,1047216,99.9976127749009
hurricane-matthew_00000261,1,No Damage,138,8,128,92.7536231884058
hurricane-matthew_00000261,2,Minor Damage,937,60,960,102.45464247598719
hurricane-matthew_00000261,3,Major Damage,260,17,272,104.61538461538463
hurricane-matthew_00000261,4,Destroyed,0,0,0,0.0
socal-fire_00001078,0,Background,1043699,65224,1043584,99.98898149753904
socal-fire_00001078,1,No Damage,4599,294,4704,102.28310502283105
socal-fire_00001078,2,Minor Damage,0,0,0,0.0
socal-fire_00001078,3,Major Damage,0,0,0,0.0
socal-fire_00001078,4,Destroyed,278,18,288,103.59712230215827
mexico-earthquake_00000047,0,Background,776810,48580,777280,100.06050385551164
mexico-earthquake_00000047,1,No Damage,271766,16956,271296,99.82705710059389
mexico-earthquake_00000047,2,Minor Damage,0,0,0,0.0
mexico-earthquake_00000047,3,Major Damage,0,0,0,0.0
mexico-earthquake_00000047,4,Destroyed,0,0,0,0.0
hurricane-michael_00000104,0,Background,1007074,62924,1006784,99.9712037049909
hurricane-michael_00000104,1,No Damage,28816,1813,29008,100.66629650194336
hurricane-michael_00000104,2,Minor Damage,8129,514,8224,101.16865543117235
hurricane-michael_00000104,3,Major Damage,3894,241,3856,99.02413970210581
hurricane-michael_00000104,4,Destroyed,663,44,704,106.18401206636501
socal-fire_00000969,0,Background,1048576,65536,1048576,100.0
socal-fire_00000969,1,No Damage,0,0,0,0.0
socal-fire_00000969,2,Minor Damage,0,0,0,0.0
socal-fire_00000969,3,Major Damage,0,0,0,0.0
socal-fire_00000969,4,Destroyed,0,0,0,0.0
midwest-flooding_00000024,0,Background,770341,48203,771248,100.11774006576309
midwest-flooding_00000024,1,No Damage,278235,17333,277328,99.67401656872788
midwest-flooding_00000024,2,Minor Damage,0,0,0,0.0
midwest-flooding_00000024,3,Major Damage,0,0,0,0.0
midwest-flooding_00000024,4,Destroyed,0,0,0,0.0
socal-fire_00000237,0,Background,1010535,63172,1010752,100.02147377379309
socal-fire_00000237,1,No Damage,38041,2364,37824,99.42956284009358
socal-fire_00000237,2,Minor Damage,0,0,0,0.0
socal-fire_00000237,3,Major Damage,0,0,0,0.0
socal-fire_00000237,4,Destroyed,0,0,0,0.0
hurricane-michael_00000430,0,Background,980994,61312,980992,99.99979612515469
hurricane-michael_00000430,1,No Damage,8184,506,8096,98.9247311827957
hurricane-michael_00000430,2,Minor Damage,3777,235,3760,99.54990733386285
hurricane-michael_00000430,3,Major Damage,55621,3483,55728,100.19237338415348
hurricane-michael_00000430,4,Destroyed,0,0,0,0.0
hurricane-harvey_00000016,0,Background,897253,56116,897856,100.06720512497589
hurricane-harvey_00000016,1,No Damage,151323,9420,150720,99.60151464086755
hurricane-harvey_00000016,2,Minor Damage,0,0,0,0.0
hurricane-harvey_00000016,3,Major Damage,0,0,0,0.0
hurricane-harvey_00000016,4,Destroyed,0,0,0,0.0
hurricane-matthew_00000066,0,Background,966499,60401,966416,99.99141230358231
hurricane-matthew_00000066,1,No Damage,13648,855,13680,100.23446658851114
hurricane-matthew_00000066,2,Minor Damage,67651,4233,67728,100.11381945573605
hurricane-matthew_00000066,3,Major Damage,778,47,752,96.65809768637533
hurricane-matthew_00000066,4,Destroyed,0,0,0,0.0
santa-rosa-wildfire_00000309,0,Background,909150,56810,908960,99.9791013584117
santa-rosa-wildfire_00000309,1,No Damage,139426,8726,139616,100.13627300503494
santa-rosa-wildfire_00000309,2,Minor Damage,0,0,0,0.0
santa-rosa-wildfire_00000309,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000309,4,Destroyed,0,0,0,0.0
socal-fire_00000203,0,Background,1048576,65536,1048576,100.0
socal-fire_00000203,1,No Damage,0,0,0,0.0
socal-fire_00000203,2,Minor Damage,0,0,0,0.0
socal-fire_00000203,3,Major Damage,0,0,0,0.0
socal-fire_00000203,4,Destroyed,0,0,0,0.0
socal-fire_00000960,0,Background,1013621,63334,1013344,99.97267223153428
socal-fire_00000960,1,No Damage,34955,2202,35232,100.79244743241311
socal-fire_00000960,2,Minor Damage,0,0,0,0.0
socal-fire_00000960,3,Major Damage,0,0,0,0.0
socal-fire_00000960,4,Destroyed,0,0,0,0.0
santa-rosa-wildfire_00000101,0,Background,936596,58555,936880,100.03032257237912
santa-rosa-wildfire_00000101,1,No Damage,111980,6981,111696,99.74638328272906
santa-rosa-wildfire_00000101,2,Minor Damage,0,0,0,0.0
santa-rosa-wildfire_00000101,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000101,4,Destroyed,0,0,0,0.0
socal-fire_00000767,0,Background,890311,55615,889840,99.9470971379664
socal-fire_00000767,1,No Damage,158265,9921,158736,100.29760212302152
socal-fire_00000767,2,Minor Damage,0,0,0,0.0
socal-fire_00000767,3,Major Damage,0,0,0,0.0
socal-fire_00000767,4,Destroyed,0,0,0,0.0
santa-rosa-wildfire_00000251,0,Background,1004053,62751,1004016,99.99631493556616
santa-rosa-wildfire_00000251,1,No Damage,4469,272,4352,97.38196464533453
santa-rosa-wildfire_00000251,2,Minor Damage,0,0,0,0.0
santa-rosa-wildfire_00000251,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000251,4,Destroyed,40054,2513,40208,100.38448095071652
mexico-earthquake_00000126,0,Background,699795,43714,699424,99.94698447402453
mexico-earthquake_00000126,1,No Damage,348781,21822,349152,100.10637047316224
mexico-earthquake_00000126,2,Minor Damage,0,0,0,0.0
mexico-earthquake_00000126,3,Major Damage,0,0,0,0.0
mexico-earthquake_00000126,4,Destroyed,0,0,0,0.0
socal-fire_00000727,0,Background,1048576,65536,1048576,100.0
socal-fire_00000727,1,No Damage,0,0,0,0.0
socal-fire_00000727,2,Minor Damage,0,0,0,0.0
socal-fire_00000727,3,Major Damage,0,0,0,0.0
socal-fire_00000727,4,Destroyed,0,0,0,0.0
socal-fire_00001233,0,Background,1004763,62803,1004848,100.00845970641834
socal-fire_00001233,1,No Damage,43813,2733,43728,99.8059936548513
socal-fire_00001233,2,Minor Damage,0,0,0,0.0
socal-fire_00001233,3,Major Damage,0,0,0,0.0
socal-fire_00001233,4,Destroyed,0,0,0,0.0
hurricane-michael_00000458,0,Background,955844,59715,955440,99.95773368876092
hurricane-michael_00000458,1,No Damage,78735,4949,79184,100.57026735251159
hurricane-michael_00000458,2,Minor Damage,13997,872,13952,99.67850253625777
hurricane-michael_00000458,3,Major Damage,0,0,0,0.0
hurricane-michael_00000458,4,Destroyed,0,0,0,0.0
mexico-earthquake_00000009,0,Background,724910,45312,724992,100.01131174904472
mexico-earthquake_00000009,1,No Damage,323666,20224,323584,99.97466524132902
mexico-earthquake_00000009,2,Minor Damage,0,0,0,0.0
mexico-earthquake_00000009,3,Major Damage,0,0,0,0.0
mexico-earthquake_00000009,4,Destroyed,0,0,0,0.0
guatemala-volcano_00000001,0,Background,1045967,65371,1045936,99.9970362353688
guatemala-volcano_00000001,1,No Damage,0,0,0,0.0
guatemala-volcano_00000001,2,Minor Damage,2609,165,2640,101.18819471061708
guatemala-volcano_00000001,3,Major Damage,0,0,0,0.0
guatemala-volcano_00000001,4,Destroyed,0,0,0,0.0
socal-fire_00000464,0,Background,1048576,65536,1048576,100.0
socal-fire_00000464,1,No Damage,0,0,0,0.0
socal-fire_00000464,2,Minor Damage,0,0,0,0.0
socal-fire_00000464,3,Major Damage,0,0,0,0.0
socal-fire_00000464,4,Destroyed,0,0,0,0.0
palu-tsunami_00000048,0,Background,968148,60505,968080,99.99297628048605
palu-tsunami_00000048,1,No Damage,76205,4769,76304,100.1299127353848
palu-tsunami_00000048,2,Minor Damage,0,0,0,0.0
palu-tsunami_00000048,3,Major Damage,1587,97,1552,97.79458097038437
palu-tsunami_00000048,4,Destroyed,2636,165,2640,100.15174506828528
hurricane-michael_00000543,0,Background,973283,60837,973392,100.01119920927417
hurricane-michael_00000543,1,No Damage,72816,4542,72672,99.8022412656559
hurricane-michael_00000543,2,Minor Damage,2477,157,2512,101.41299959628583
hurricane-michael_00000543,3,Major Damage,0,0,0,0.0
hurricane-michael_00000543,4,Destroyed,0,0,0,0.0
hurricane-matthew_00000090,0,Background,1027040,64182,1026912,99.98753699953264
hurricane-matthew_00000090,1,No Damage,0,0,0,0.0
hurricane-matthew_00000090,2,Minor Damage,16406,1030,16480,100.45105449225893
hurricane-matthew_00000090,3,Major Damage,4172,261,4176,100.09587727708534
hurricane-matthew_00000090,4,Destroyed,958,63,1008,105.21920668058455
socal-fire_00000955,0,Background,1048576,65536,1048576,100.0
socal-fire_00000955,1,No Damage,0,0,0,0.0
socal-fire_00000955,2,Minor Damage,0,0,0,0.0
socal-fire_00000955,3,Major Damage,0,0,0,0.0
socal-fire_00000955,4,Destroyed,0,0,0,0.0
palu-tsunami_00000142,0,Background,1038503,64902,1038432,99.9931632359271
palu-tsunami_00000142,1,No Damage,4109,257,4112,100.0730104648333
palu-tsunami_00000142,2,Minor Damage,0,0,0,0.0
palu-tsunami_00000142,3,Major Damage,310,20,320,103.2258064516129
palu-tsunami_00000142,4,Destroyed,5654,357,5712,101.02582242660063
hurricane-matthew_00000211,0,Background,1042521,65151,1042416,99.98992826043792
hurricane-matthew_00000211,1,No Damage,0,0,0,0.0
hurricane-matthew_00000211,2,Minor Damage,1546,99,1584,102.45795601552395
hurricane-matthew_00000211,3,Major Damage,793,52,832,104.91803278688525
hurricane-matthew_00000211,4,Destroyed,3716,234,3744,100.7534983853606
hurricane-harvey_00000292,0,Background,914070,57106,913696,99.959084096404
hurricane-harvey_00000292,1,No Damage,134506,8430,134880,100.27805451057945
hurricane-harvey_00000292,2,Minor Damage,0,0,0,0.0
hurricane-harvey_00000292,3,Major Damage,0,0,0,0.0
hurricane-harvey_00000292,4,Destroyed,0,0,0,0.0
socal-fire_00000507,0,Background,949022,59315,949040,100.00189668943395
socal-fire_00000507,1,No Damage,99554,6221,99536,99.98191936034715
socal-fire_00000507,2,Minor Damage,0,0,0,0.0
socal-fire_00000507,3,Major Damage,0,0,0,0.0
socal-fire_00000507,4,Destroyed,0,0,0,0.0
hurricane-michael_00000514,0,Background,1013274,63335,1013360,100.00848733906129
hurricane-michael_00000514,1,No Damage,30290,1887,30192,99.67646087817762
hurricane-michael_00000514,2,Minor Damage,1246,80,1280,102.72873194221508
hurricane-michael_00000514,3,Major Damage,3766,234,3744,99.41582580987786
hurricane-michael_00000514,4,Destroyed,0,0,0,0.0
palu-tsunami_00000020,0,Background,983725,61501,984016,100.02958143790185
palu-tsunami_00000020,1,No Damage,15502,967,15472,99.80647658366662
palu-tsunami_00000020,2,Minor Damage,0,0,0,0.0
palu-tsunami_00000020,3,Major Damage,4368,269,4304,98.53479853479854
palu-tsunami_00000020,4,Destroyed,44981,2799,44784,99.56203730463974
mexico-earthquake_00000153,0,Background,807969,50481,807696,99.96621157494904
mexico-earthquake_00000153,1,No Damage,240607,15055,240880,100.11346303307884
mexico-earthquake_00000153,2,Minor Damage,0,0,0,0.0
mexico-earthquake_00000153,3,Major Damage,0,0,0,0.0
mexico-earthquake_00000153,4,Destroyed,0,0,0,0.0
palu-tsunami_00000061,0,Background,928715,58045,928720,100.0005383782969
