dataset_index,actual_0_pixels,actual_0_mean_probability,actual_0_max_probability,actual_0_min_probability,actual_1_pixels,actual_1_mean_probability,actual_1_max_probability,actual_1_min_probability,actual_2_pixels,actual_2_mean_probability,actual_2_max_probability,actual_2_min_probability,actual_3_pixels,actual_3_mean_probability,actual_3_max_probability,actual_3_min_probability,actual_4_pixels,actual_4_mean_probability,actual_4_max_probability,actual_4_min_probability
10,59240,0.8070859909057617,0.9999463558197021,0.012338167987763882,2894,0.40769192576408386,0.6613265872001648,0.008267791010439396,1819,0.20445667207241058,0.32861050963401794,0.002144741825759411,1303,0.28643184900283813,0.4281948506832123,0.010210104286670685,280,0.08635924756526947,0.2799362242221832,0.0147461649030447
11,62683,0.8806309103965759,0.9994712471961975,0.017787855118513107,1751,0.3806171119213104,0.5368696451187134,0.044157493859529495,425,0.11769533157348633,0.23193979263305664,0.0014544997829943895,375,0.3095771372318268,0.42839354276657104,0.031979355961084366,302,0.05586842820048332,0.2310088723897934,0.010413176380097866
12,47481,0.5096926689147949,0.9655821323394775,0.018317293375730515,5028,0.42280590534210205,0.862708330154419,0.03515128791332245,75,0.11165723204612732,0.14553068578243256,0.08063294738531113,0,,,,12952,0.6349277496337891,0.9092020392417908,0.014924422837793827
13,65536,0.9768123626708984,0.999504804611206,0.2926478087902069,0,,,,0,,,,0,,,,0,,,
14,61125,0.8733594417572021,0.9997808337211609,0.026831012219190598,4411,0.36402082443237305,0.8444139361381531,0.020551493391394615,0,,,,0,,,,0,,,
15,54064,0.8044167160987854,0.9955515265464783,0.049049779772758484,1186,0.2940323054790497,0.49079933762550354,0.011585348285734653,33,0.16456495225429535,0.21023184061050415,0.0890471488237381,0,,,,10253,0.6008186340332031,0.9301706552505493,0.003491814248263836
16,65536,0.9021244645118713,0.9771665334701538,0.5199546217918396,0,,,,0,,,,0,,,,0,,,
17,60839,0.9100778698921204,0.9999344348907471,0.010912149213254452,2722,0.426601380109787,0.8954059481620789,0.00393010675907135,0,,,,389,0.2267143875360489,0.3869174122810364,0.03722948580980301,1586,0.34643933176994324,0.9756609797477722,0.00045852476614527404
18,65536,0.8246392011642456,0.998806357383728,0.0407424122095108,0,,,,0,,,,0,,,,0,,,
19,61530,0.7183037400245667,0.9953887462615967,0.04762870818376541,2261,0.30831196904182434,0.5332471132278442,0.04258827865123749,97,0.03965233638882637,0.09061514586210251,0.013538487255573273,200,0.1549336463212967,0.3204744756221771,0.010915382765233517,1448,0.505211591720581,0.8968448638916016,0.03742741048336029
20,65185,0.9559870362281799,0.9994754195213318,0.1333480328321457,351,0.28652557730674744,0.4379100799560547,0.10075070708990097,0,,,,0,,,,0,,,
21,65536,0.9234886169433594,0.9997536540031433,0.02642993815243244,0,,,,0,,,,0,,,,0,,,
22,62641,0.8229743838310242,0.999477207660675,0.012644403614103794,254,0.3784492313861847,0.5113791823387146,0.10770191252231598,65,0.13850724697113037,0.19336962699890137,0.03926793485879898,0,,,,2576,0.4229504466056824,0.9419518709182739,0.002717318944633007
23,62818,0.9758970141410828,0.9999192953109741,0.03946975618600845,1800,0.36425086855888367,0.8501363396644592,0.004356995224952698,918,0.13418856263160706,0.2174965739250183,0.00035192249924875796,0,,,,0,,,
24,65185,0.8650013208389282,0.9997990727424622,0.07567368447780609,0,,,,0,,,,0,,,,351,0.6607632040977478,0.9449656009674072,0.008011735044419765
25,65179,0.9815797209739685,0.9999829530715942,0.04714588075876236,0,,,,0,,,,357,0.1909196972846985,0.39932751655578613,0.0027921569999307394,0,,,
26,64421,0.892634928226471,0.9999222755432129,0.015596069395542145,743,0.4823310971260071,0.8679224252700806,0.24710611999034882,327,0.22639115154743195,0.29539817571640015,0.14424777030944824,45,0.34798023104667664,0.3924243748188019,0.23844552040100098,0,,,
27,65385,0.8355583548545837,0.9992893934249878,0.07869983464479446,50,0.13062304258346558,0.2159925103187561,0.045717209577560425,0,,,,0,,,,101,0.31907570362091064,0.5176537036895752,0.07778195291757584
28,64865,0.7819193005561829,0.9994066953659058,0.03519442677497864,11,0.22735442221164703,0.2524777352809906,0.20747379958629608,0,,,,0,,,,660,0.43543073534965515,0.9479881525039673,0.011875014752149582
29,65297,0.8098033666610718,0.9946815371513367,0.04279588907957077,239,0.35876911878585815,0.5370336771011353,0.03226368501782417,0,,,,0,,,,0,,,
30,64672,0.9493128061294556,0.9999865293502808,0.046743690967559814,95,0.2886936068534851,0.3887595236301422,0.027651749551296234,631,0.16793252527713776,0.26452940702438354,0.0025289393961429596,124,0.1972998082637787,0.35698652267456055,0.03834329545497894,14,0.1116853728890419,0.24233750998973846,0.00398421473801136
31,62022,0.758593738079071,0.9992369413375854,0.010448084212839603,0,,,,3277,0.22429214417934418,0.3221602141857147,0.062215305864810944,215,0.30534109473228455,0.38470330834388733,0.1871214061975479,22,0.17621015012264252,0.2757771611213684,0.09116455912590027
32,44502,0.6137549877166748,0.9999322891235352,0.008644625544548035,13034,0.5271397233009338,0.9610407948493958,0.01968192495405674,0,,,,108,0.19315119087696075,0.320026159286499,0.10586712509393692,7892,0.4535083770751953,0.967044472694397,0.0040544490329921246
33,65518,0.9918995499610901,0.99982750415802,0.03154076263308525,0,,,,0,,,,18,0.3634742498397827,0.41488540172576904,0.29475662112236023,0,,,
34,63601,0.9556176066398621,0.9999904632568359,0.0211300328373909,1935,0.3580823838710785,0.6100152134895325,0.03340292349457741,0,,,,0,,,,0,,,
35,53422,0.791679859161377,0.9999226331710815,0.025678524747490883,4442,0.2689441740512848,0.731725811958313,0.0025562241207808256,1575,0.12893256545066833,0.262432336807251,0.0010787792271003127,6097,0.2747366726398468,0.44387006759643555,0.0034948510583490133,0,,,
36,56365,0.6305736303329468,0.9988477230072021,0.004733487032353878,6041,0.42513883113861084,0.6907116174697876,0.055141203105449677,2791,0.19703295826911926,0.30932119488716125,0.02876189351081848,339,0.32600659132003784,0.43507638573646545,0.13055256009101868,0,,,
37,65034,0.9298635721206665,0.9998892545700073,0.029952581971883774,493,0.35124239325523376,0.4621603190898895,0.07369547337293625,0,,,,9,0.19385817646980286,0.23096929490566254,0.15341737866401672,0,,,
38,65536,0.8676149845123291,0.9991610050201416,0.04124777391552925,0,,,,0,,,,0,,,,0,,,
39,64048,0.949159562587738,0.9997046589851379,0.05037316307425499,0,,,,178,0.14954565465450287,0.20624028146266937,0.08972375094890594,1051,0.37611687183380127,0.5126354694366455,0.0750487819314003,259,0.1258637011051178,0.5580892562866211,0.015827637165784836
40,65491,0.9148582816123962,0.999895453453064,0.037102703005075455,0,,,,12,0.15007635951042175,0.18053489923477173,0.09737326204776764,16,0.14049500226974487,0.18157458305358887,0.09166475385427475,17,0.17896808683872223,0.3091790974140167,0.058126725256443024
41,62855,0.7924142479896545,0.9988603591918945,0.03127020597457886,2681,0.38737526535987854,0.6391199827194214,0.04022357985377312,0,,,,0,,,,0,,,
42,62595,0.7616041898727417,0.9966386556625366,0.03113577514886856,2941,0.31309404969215393,0.5991033315658569,0.05377420037984848,0,,,,0,,,,0,,,
43,64502,0.9545153379440308,0.9999784231185913,0.025262868031859398,961,0.37277892231941223,0.5820488929748535,0.0003662506933324039,0,,,,73,0.30270588397979736,0.3456934094429016,0.1905580312013626,0,,,
44,65536,0.94999098777771,0.9984170198440552,0.14480751752853394,0,,,,0,,,,0,,,,0,,,
45,65536,0.9037463068962097,0.9979339838027954,0.05875525251030922,0,,,,0,,,,0,,,,0,,,
46,65008,0.9771246910095215,0.9999890327453613,0.02886604331433773,391,0.23446239531040192,0.5143823623657227,0.0004768366925418377,137,0.12436363846063614,0.213521346449852,0.01663110964000225,0,,,,0,,,
47,65406,0.9788791537284851,0.9992511868476868,0.03859999403357506,0,,,,0,,,,130,0.2996586859226227,0.38584673404693604,0.039612021297216415,0,,,
48,45811,0.7106918096542358,0.9999191761016846,0.018814923241734505,461,0.36342573165893555,0.45039594173431396,0.1703452616930008,5563,0.1565672755241394,0.28042203187942505,0.006976856384426355,13701,0.3216705024242401,0.5016438961029053,0.00609204825013876,0,,,
49,65451,0.9187671542167664,0.9994660019874573,0.04280601441860199,8,0.24861712753772736,0.3132442235946655,0.17338429391384125,60,0.11973216384649277,0.22831670939922333,0.03360539674758911,17,0.029272761195898056,0.05248266085982323,0.00979898776859045,0,,,
50,65224,0.9427005648612976,0.9992018342018127,0.05602973327040672,294,0.32423079013824463,0.5015316605567932,0.03520527109503746,0,,,,0,,,,18,0.25243353843688965,0.5535765290260315,0.02703823894262314
51,48580,0.7401768565177917,0.9998581409454346,0.029759598895907402,16956,0.40078306198120117,0.9017279148101807,0.01219932921230793,0,,,,0,,,,0,,,
52,62924,0.8692648410797119,0.9993997812271118,0.011683624237775803,1813,0.41674259305000305,0.5437613725662231,0.024544309824705124,514,0.22620564699172974,0.2882789373397827,0.13608069717884064,241,0.2793255150318146,0.4437793791294098,0.02082054689526558,44,0.04043533653020859,0.0867057740688324,0.009683644399046898
53,65536,0.9747044444084167,0.9994944334030151,0.1292303502559662,0,,,,0,,,,0,,,,0,,,
54,48203,0.7019051313400269,0.9995009899139404,0.0195279810577631,17333,0.3130165934562683,0.8143149614334106,0.0021208408288657665,0,,,,0,,,,0,,,
55,63172,0.8574000597000122,0.9997099041938782,0.016960863023996353,2364,0.4883190095424652,0.868870735168457,0.056783583015203476,0,,,,0,,,,0,,,
56,61312,0.7685277462005615,0.9999010562896729,0.033954277634620667,506,0.3385913074016571,0.5112500190734863,0.0581456795334816,235,0.07816194742918015,0.14543721079826355,0.030975813046097755,3483,0.3125411570072174,0.4787614941596985,0.010089833289384842,0,,,
57,56116,0.8698393106460571,0.9999576807022095,0.05061067268252373,9420,0.2562040388584137,0.6336140632629395,0.035252347588539124,0,,,,0,,,,0,,,
58,60401,0.8501695990562439,0.9999526739120483,0.04290147125720978,855,0.29740405082702637,0.7336441278457642,0.04371222108602524,4233,0.12200264632701874,0.2509929835796356,0.0007481687352992594,47,0.27940529584884644,0.34245121479034424,0.21334360539913177,0,,,
59,56810,0.8196414113044739,0.9963811039924622,0.028750695288181305,8726,0.29670074582099915,0.6215459704399109,0.004998239688575268,0,,,,0,,,,0,,,
60,65536,0.8744776844978333,0.9969810843467712,0.04707148298621178,0,,,,0,,,,0,,,,0,,,
61,63334,0.8536190390586853,0.9994919300079346,0.01194824930280447,2202,0.39336514472961426,0.9276667237281799,0.06507202237844467,0,,,,0,,,,0,,,
62,58555,0.6545717120170593,0.9993593096733093,0.018220167607069016,6981,0.4119386374950409,0.7418860793113708,0.05414336919784546,0,,,,0,,,,0,,,
63,55615,0.49445027112960815,0.997982382774353,0.032919902354478836,9921,0.38780805468559265,0.8323222994804382,0.0072895376943051815,0,,,,0,,,,0,,,
64,62751,0.8375481367111206,0.9995645880699158,0.037910666316747665,272,0.23213498294353485,0.38456857204437256,0.0490751750767231,0,,,,0,,,,2513,0.7099292874336243,0.9499726295471191,0.002602949505671859
65,43714,0.6344997882843018,0.9982950091362,0.03158077225089073,21822,0.4825548827648163,0.924110472202301,0.02556883916258812,0,,,,0,,,,0,,,
66,65536,0.718725860118866,0.9980626702308655,0.0194694846868515,0,,,,0,,,,0,,,,0,,,
67,62803,0.6387813091278076,0.9932469129562378,0.018532978370785713,2733,0.3778367042541504,0.53055739402771,0.17050334811210632,0,,,,0,,,,0,,,
68,59715,0.7816488742828369,0.9999719858169556,0.017819074913859367,4949,0.4053875803947449,0.7279965877532959,0.007924237288534641,872,0.13357019424438477,0.27582553029060364,0.0014899787493050098,0,,,,0,,,
69,45312,0.598462700843811,0.9998703002929688,0.03186933696269989,20224,0.5219085216522217,0.9183813333511353,0.012826004065573215,0,,,,0,,,,0,,,
70,65371,0.9778026342391968,0.9999408721923828,0.03590355068445206,0,,,,165,0.09926258772611618,0.19334594905376434,0.0055848839692771435,0,,,,0,,,
71,65536,0.8754890561103821,0.9976564645767212,0.06480105966329575,0,,,,0,,,,0,,,,0,,,
72,60505,0.7028539776802063,0.9979605674743652,0.019751131534576416,4769,0.40350455045700073,0.6855002045631409,0.15743008255958557,0,,,,97,0.14542198181152344,0.40171608328819275,0.039736490696668625,165,0.3298509120941162,0.9099493026733398,0.0133749321103096
73,60837,0.7513360977172852,0.9996848106384277,0.012027395889163017,4542,0.4251439869403839,0.5751972198486328,0.09454023838043213,157,0.1891600489616394,0.25333279371261597,0.1279989778995514,0,,,,0,,,
74,64182,0.883418619632721,0.9999899864196777,0.031512901186943054,0,,,,1030,0.15771840512752533,0.33211472630500793,0.00043552281567826867,261,0.2283509373664856,0.4341030716896057,0.00118857657071203,63,0.06429886072874069,0.27133679389953613,0.004130643326789141
75,65536,0.9564056396484375,0.9995542168617249,0.057900115847587585,0,,,,0,,,,0,,,,0,,,
76,64902,0.742094099521637,0.9982120990753174,0.025772010907530785,257,0.3688567578792572,0.4542786478996277,0.1123238354921341,0,,,,20,0.151153564453125,0.2248876690864563,0.06762510538101196,357,0.13081227242946625,0.45348691940307617,0.016459941864013672
77,65151,0.8103914260864258,0.9998329877853394,0.02169000543653965,0,,,,99,0.14950931072235107,0.2468177229166031,0.04390419274568558,52,0.1462460160255432,0.25213444232940674,0.056807078421115875,234,0.14690561592578888,0.5123055577278137,0.007939803414046764
78,57106,0.8765748739242554,0.9999663829803467,0.02536977082490921,8430,0.32034432888031006,0.4779945909976959,0.005990453530102968,0,,,,0,,,,0,,,
79,59315,0.7684072852134705,0.9971837401390076,0.02177094854414463,6221,0.4062904715538025,0.9366458058357239,0.015108723193407059,0,,,,0,,,,0,,,
80,63335,0.9044488668441772,0.9994376301765442,0.018888209015130997,1887,0.41736194491386414,0.5704506635665894,0.011231542564928532,80,0.125494122505188,0.19224250316619873,0.033874575048685074,234,0.3359539210796356,0.41244038939476013,0.20296519994735718,0,,,
81,61501,0.8532506823539734,0.99920254945755,0.022811567410826683,967,0.26468756794929504,0.5459286570549011,0.015329685993492603,0,,,,269,0.095851831138134,0.23496416211128235,0.012850835919380188,2799,0.5718353390693665,0.9467684626579285,0.00166793423704803
82,50481,0.7631704211235046,0.9998550415039062,0.020916232839226723,15055,0.4653533101081848,0.9332846403121948,0.006015492137521505,0,,,,0,,,,0,,,
83,58045,0.7512038350105286,0.9988640546798706,0.011941194534301758,7491,0.4484037756919861,0.9520331621170044,0.03909800946712494,0,,,,0,,,,0,,,
84,47089,0.7328670620918274,0.9991955161094666,0.019249584525823593,18447,0.6406581401824951,0.9686951041221619,0.006729490123689175,0,,,,0,,,,0,,,
85,65536,0.9352499842643738,0.999457061290741,0.03417851775884628,0,,,,0,,,,0,,,,0,,,
86,64451,0.9408950209617615,0.9995003938674927,0.02384590357542038,677,0.4096548557281494,0.5535793900489807,0.12630663812160492,195,0.17381305992603302,0.306118369102478,0.06085249036550522,213,0.2248445600271225,0.36789512634277344,0.0067974841222167015,0,,,
87,65121,0.9820000529289246,0.9999909400939941,0.013620984740555286,0,,,,0,,,,397,0.22495095431804657,0.41993942856788635,0.0024286224506795406,18,0.1652151644229889,0.5851743817329407,0.009636410512030125
88,40413,0.549068808555603,0.9997840523719788,0.019216980785131454,24618,0.5117079019546509,0.9353490471839905,0.01973963901400566,505,0.1269308477640152,0.21154631674289703,0.016323329880833626,0,,,,0,,,
89,51818,0.7471504807472229,0.9986401200294495,0.023271851241588593,13718,0.3464062809944153,0.9254054427146912,0.041024349629879,0,,,,0,,,,0,,,
90,64679,0.9593894481658936,0.9999148845672607,0.024473804980516434,0,,,,0,,,,857,0.2685267925262451,0.5682454705238342,0.025563420727849007,0,,,
91,63002,0.8284367322921753,0.9943227767944336,0.04050660505890846,530,0.31512144207954407,0.5300911664962769,0.07258454710245132,9,0.07346104830503464,0.08422882854938507,0.05704884231090546,0,,,,1995,0.5220942497253418,0.9357650876045227,0.022213447839021683
92,64371,0.9583247303962708,0.9998887777328491,0.04057621955871582,912,0.4108808636665344,0.868131160736084,0.009550550952553749,116,0.11415137350559235,0.1722724586725235,0.006631541531533003,137,0.3180170953273773,0.41002151370048523,0.15207383036613464,0,,,
93,65169,0.9100177884101868,0.9998903274536133,0.03211522847414017,166,0.272188663482666,0.6363369226455688,0.014483834616839886,105,0.12382864952087402,0.2762430012226105,0.010203045792877674,0,,,,96,0.164668470621109,0.43889352679252625,0.03800729662179947
94,65536,0.894715428352356,0.9968728423118591,0.1482173204421997,0,,,,0,,,,0,,,,0,,,
95,65028,0.7948878407478333,0.9975263476371765,0.026325222104787827,143,0.32289475202560425,0.5275700688362122,0.08244512230157852,7,0.14660651981830597,0.15432089567184448,0.13539770245552063,0,,,,358,0.2667325735092163,0.69972825050354,0.029067005962133408
96,65532,0.4037214517593384,0.999872088432312,0.021050261333584785,0,,,,0,,,,0,,,,4,0.07222606986761093,0.0755685493350029,0.06505787372589111
97,46392,0.5390024781227112,0.9812397956848145,0.025173017755150795,14690,0.41202646493911743,0.6962422728538513,0.0648268312215805,0,,,,0,,,,4454,0.41202884912490845,0.8554762005805969,0.01500878855586052
98,64675,0.9663364887237549,0.9999879598617554,0.00812588632106781,861,0.36530986428260803,0.5685797929763794,0.00468991044908762,0,,,,0,,,,0,,,
99,65536,0.9603344202041626,0.9997584223747253,0.033027227967977524,0,,,,0,,,,0,,,,0,,,
100,65263,0.9243874549865723,0.999884843826294,0.07032038271427155,0,,,,25,0.12354467064142227,0.1745244711637497,0.039072535932064056,80,0.15443925559520721,0.29589924216270447,0.04124820604920387,168,0.14428547024726868,0.6923298239707947,0.02028658613562584
101,64479,0.9769138097763062,0.9998089671134949,0.03163673356175423,1042,0.3689030706882477,0.9110379815101624,0.03691484406590462,15,0.089961476624012,0.11725012958049774,0.04905139282345772,0,,,,0,,,
102,65464,0.9929330945014954,0.9999897480010986,0.17022095620632172,0,,,,0,,,,0,,,,72,0.08350982517004013,0.3622419536113739,0.0006025774055160582
103,65453,0.9244722723960876,0.997531533241272,0.0578969344496727,0,,,,0,,,,0,,,,83,0.04134737700223923,0.12369193881750107,0.019699852913618088
104,64293,0.8916171789169312,0.9957718253135681,0.035800375044345856,1243,0.4058104157447815,0.7467307448387146,0.014571486040949821,0,,,,0,,,,0,,,
105,65536,0.8361388444900513,0.9961559176445007,0.16598454117774963,0,,,,0,,,,0,,,,0,,,
106,65523,0.9802772998809814,0.9999843835830688,0.035948991775512695,8,0.3880448341369629,0.45992279052734375,0.3307979106903076,5,0.16507863998413086,0.17622794210910797,0.14977604150772095,0,,,,0,,,
107,62469,0.9140685200691223,0.9998103976249695,0.02779124677181244,0,,,,47,0.05651339143514633,0.1243865042924881,0.021608926355838776,0,,,,3020,0.6531362533569336,0.9548623561859131,0.000511963851749897
108,50059,0.7003496289253235,0.9998277425765991,0.007367098703980446,15477,0.3736446499824524,0.8391816020011902,0.006200353614985943,0,,,,0,,,,0,,,
109,65286,0.9810789823532104,0.9999091625213623,0.01687217317521572,197,0.39348188042640686,0.5150223970413208,0.05665820837020874,53,0.22189997136592865,0.30295026302337646,0.09597515314817429,0,,,,0,,,
110,65536,0.908884584903717,0.9959608912467957,0.0701756626367569,0,,,,0,,,,0,,,,0,,,
111,64999,0.836614727973938,0.995380163192749,0.053014904260635376,537,0.3610416352748871,0.6844676733016968,0.03047971986234188,0,,,,0,,,,0,,,
112,57933,0.7768583297729492,0.9997101426124573,0.01884780451655388,3069,0.4728875458240509,0.9542086720466614,0.011403197422623634,2445,0.17698317766189575,0.32259896397590637,0.005311527289450169,2089,0.2537679672241211,0.5215551853179932,0.007053719833493233,0,,,
113,64829,0.8312324285507202,0.9976932406425476,0.06284074485301971,80,0.5426941514015198,0.902786374092102,0.1641499549150467,0,,,,0,,,,627,0.5880492925643921,0.8860037326812744,0.04491623118519783
114,65536,0.9943673610687256,0.999231219291687,0.843691349029541,0,,,,0,,,,0,,,,0,,,
115,49492,0.7240005135536194,0.9986401200294495,0.026951927691698074,16044,0.5062876343727112,0.9441186785697937,0.0052377888932824135,0,,,,0,,,,0,,,
116,65536,0.8778098821640015,0.9990459084510803,0.12429817765951157,0,,,,0,,,,0,,,,0,,,
117,61256,0.47251829504966736,0.9973987340927124,0.01810215786099434,4075,0.41340911388397217,0.8729079365730286,0.04994557052850723,0,,,,31,0.18973171710968018,0.27555981278419495,0.08053458482027054,174,0.22584761679172516,0.7970545887947083,0.02386990562081337
118,65536,0.9537597894668579,0.9994056224822998,0.03104347176849842,0,,,,0,,,,0,,,,0,,,
119,65536,0.9850988388061523,0.9999258518218994,0.09327511489391327,0,,,,0,,,,0,,,,0,,,
120,59740,0.8446600437164307,0.9998776912689209,0.013791189529001713,3841,0.3990305960178375,0.8303782939910889,0.0213082917034626,1322,0.17176027595996857,0.2926660478115082,0.004045926500111818,471,0.37738820910453796,0.5333346724510193,0.1754990816116333,162,0.10032262653112411,0.5212570428848267,0.01948482356965542
121,65536,0.9626008868217468,0.99905925989151,0.0769532322883606,0,,,,0,,,,0,,,,0,,,
122,65020,0.9344359636306763,0.999446451663971,0.01252308301627636,185,0.4582274556159973,0.5836281180381775,0.2843685746192932,331,0.19808733463287354,0.2886296212673187,0.055275410413742065,0,,,,0,,,
123,56696,0.82942795753479,0.9997898936271667,0.019631966948509216,8840,0.5790051221847534,0.9413596987724304,0.016034981235861778,0,,,,0,,,,0,,,
124,65447,0.9932210445404053,0.999303936958313,0.052238885313272476,0,,,,0,,,,0,,,,89,0.3178476095199585,0.5552443861961365,0.09006990492343903
125,65361,0.8108590841293335,0.9998161196708679,0.03061334788799286,0,,,,34,0.1410008817911148,0.23289193212985992,0.05126388370990753,27,0.1994989663362503,0.2487567812204361,0.12576934695243835,114,0.2209799736738205,0.6651010513305664,0.017420360818505287
126,65284,0.9466034173965454,0.9999183416366577,0.0491861067712307,0,,,,0,,,,252,0.10808196663856506,0.3787284791469574,0.007067741360515356,0,,,
127,65536,0.7624047994613647,0.9981239438056946,0.025107134133577347,0,,,,0,,,,0,,,,0,,,
128,60842,0.8589562773704529,0.9997652173042297,0.01554825995117426,3265,0.40483346581459045,0.5557233691215515,0.04550832509994507,1021,0.16263112425804138,0.28576990962028503,0.003180377883836627,408,0.24086861312389374,0.3963783383369446,0.03387894853949547,0,,,
129,47088,0.658029317855835,0.9914933443069458,0.0509079247713089,18448,0.38505372405052185,0.8713294267654419,0.02310582436621189,0,,,,0,,,,0,,,
130,65141,0.9365636706352234,0.9998726844787598,0.038613639771938324,191,0.40021833777427673,0.5960938930511475,0.0875156968832016,12,0.12535089254379272,0.14807158708572388,0.08998305350542068,179,0.2202056646347046,0.44105127453804016,0.000499451532959938,13,0.08296944200992584,0.19949743151664734,0.04382287710905075
131,52689,0.6991105675697327,0.9985989928245544,0.023953627794981003,12847,0.3655092418193817,0.6882985830307007,0.015928711742162704,0,,,,0,,,,0,,,
132,65519,0.8791475296020508,0.9998977184295654,0.050460170954465866,0,,,,0,,,,0,,,,17,0.07285932451486588,0.12509776651859283,0.020512526854872704
133,65536,0.92486172914505,0.9989768266677856,0.0480349026620388,0,,,,0,,,,0,,,,0,,,
134,65438,0.8913572430610657,0.9993453621864319,0.059644754976034164,0,,,,0,,,,0,,,,98,0.6721794605255127,0.9149055480957031,0.12112903594970703
135,65460,0.974463701248169,0.9998929500579834,0.09572164714336395,0,,,,0,,,,76,0.20875124633312225,0.3525427281856537,0.006629042327404022,0,,,
136,65103,0.9889606237411499,0.9999735355377197,0.02504396252334118,433,0.37661564350128174,0.5605824589729309,0.11901828646659851,0,,,,0,,,,0,,,
137,49143,0.6362231969833374,0.9995949864387512,0.01890009641647339,0,,,,0,,,,16393,0.33470767736434937,0.5462475419044495,0.038711655884981155,0,,,
138,64672,0.9500570893287659,0.9998922348022461,0.04010775312781334,0,,,,0,,,,864,0.2934674620628357,0.5190249681472778,0.005111796781420708,0,,,
139,65536,0.9149870276451111,0.9988648891448975,0.08377385139465332,0,,,,0,,,,0,,,,0,,,
140,60028,0.841065526008606,0.9998016953468323,0.010028022341430187,583,0.3667556345462799,0.5486356019973755,0.03594536334276199,4172,0.18532781302928925,0.4038093090057373,0.0011911176843568683,543,0.2695586085319519,0.4300442934036255,0.024675263091921806,210,0.19098864495754242,0.7207242846488953,0.0008798898197710514
141,31126,0.3582577109336853,0.987443745136261,0.015979597344994545,34410,0.5007385015487671,0.9661828279495239,0.010470089502632618,0,,,,0,,,,0,,,
142,48858,0.7592720985412598,0.999313473701477,0.037097666412591934,16484,0.29014912247657776,0.6927785873413086,0.003933903761208057,194,0.1304066926240921,0.22227591276168823,0.02846197970211506,0,,,,0,,,
143,64221,0.9073553085327148,0.9999899864196777,0.04481391981244087,446,0.229420006275177,0.67363440990448,0.03309975937008858,671,0.13555032014846802,0.22933076322078705,0.03141601011157036,185,0.21030373871326447,0.34263157844543457,0.09643900394439697,13,0.2663741111755371,0.3344532549381256,0.14617662131786346
144,65312,0.9792646169662476,0.9996689558029175,0.04258132725954056,0,,,,0,,,,0,,,,224,0.03882591053843498,0.14067743718624115,0.006884782109409571
145,35997,0.593643069267273,0.9961585402488708,0.019144481047987938,29521,0.47183775901794434,0.9347745776176453,0.03600598871707916,0,,,,0,,,,18,0.13540367782115936,0.24413368105888367,0.04552490636706352
146,65520,0.9822319746017456,0.9998910427093506,0.0848793163895607,0,,,,0,,,,0,,,,16,0.4726191759109497,0.6758044362068176,0.2727830708026886
